Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
22983,Arcania: Fall of Setarrif,Misc,,PS3,Nordic Games,Unknown,,,,,,,,,2013.0
22984,Arch Rivals,Sports,,GEN,Acclaim Entertainment,Arc Developments,,,,,,,,,1992.0
22985,Arch Rivals,Sports,,GG,Flying Edge,Arc Developments,,,,,,,,,1992.0
22986,Arch Rivals: A Basket Brawl!,Sports,,NES,Acclaim Entertainment,Rare Ltd.,,,,,,,,,1990.0
22987,Archangel,Role-Playing,M,PC,Fishtank Interactive,Metropolis Software,,,,,,,,,2002.0
22988,Archeage,Misc,,PC,Trion Worlds,Unknown,,,,,,,,,2020.0
22989,ArcheBlade,Misc,,PC,Unknown,Unknown,,,,,,,,,2014.0
22990,Archer Maclean Presents: Pool Paradise,Sports,E,PC,Ignition Entertainment,Awesome Developments,,,,,,,,,2004.0
22991,Archer Maclean's 3D Pool,Misc,,PS,Ignition Entertainment,Awesome Productions,,,,,,,,,2003.0
22992,Archer Maclean's Dropzone,Shooter,,SNES,Psygnosis,Eurocom Entertainment Software,,,,,,,,,1995.0
22993,Archer Maclean's Mercury,Puzzle,E,PSN,Ignition Entertainment,Awesome Studios,7.7,,,,,,,,2008.0
22994,Archibald's Adventures,Puzzle,E,PSN,Unknown,Pavel Tovarys,,10.0,,,,,,,2010.0
22995,Archimedean Dynasty,Simulation,T,PC,Blue Byte,Massive Development,,,,,,,,,1997.0
22996,ArchLord,Role-Playing,T,PC,Codemasters,nhm Games,,,,,,,,,2006.0
22997,Archlord 2,Role-Playing,,PC,Webzen,Webzen,,,,,,,,,2015.0
22998,Archon,Misc,,NES,Activision,Bulletproof Software,,,,,,,,,1989.0
22999,Archon Classic,Strategy,,PC,Unknown,React Games,,,,,,,,,2010.0
23000,Archon: Classic,Action,,WW,Unknown,React Games,,,,,,,,,2010.0
23001,Arcobaleno! Portable,Simulation,,PSP,Idea Factory,Idea Factory,,,,,,,,,2010.0
23002,Arctic Adventures: Polar's Puzzles,Puzzle,E,PSN,Eidos Interactive,Eiconic Games,,,,,,,,,2010.0
23003,Arctic Escape,Puzzle,E,DSiW,Teyon Entertainment,Teyon Entertainment,,,,,,,,,2011.0
23004,Arctic Tale,Adventure,E,GBA,DSI Games,Atomic Planet Entertainment,,,,,,,,,2007.0
23005,Arcus 1-2-3,Role-Playing,,SCD,Wolf Team,Wolf Team,,,,,,,,,1993.0
23006,Arcus Odyssey,Role-Playing,,GEN,Renovation,Wolf Team,,,,,,,,,1991.0
23007,Arcus Odyssey,Role-Playing,,SNES,Unknown,Wolf Team,,,,,,,,,1991.0
23008,Ardy LightFoot,Platform,E,SNES,Titus,ASCII Entertainment,,,,,,,,,1996.0
23009,Are You a Dodo?,Action,,And,Chillingo,Chillingo,,,,,,,,,2014.0
23010,Are You Smarter Than A 5th Grader?,Misc,E,PC,THQ,AWE Games,,,,,,,,,2007.0
23011,Are You Smarter Than a 5th Grader? Make The Grade,Misc,E,PS2,THQ,THQ,,,,,,,,,2008.0
23012,Are You Smarter than a 5th Grader? Make The Grade,Misc,E,XBL,THQ,Blitz Game Studios,,,,,,,,,2008.0
23013,Are You Smarter than a 5th Grader? Make the Grade,Misc,E,PC,THQ,THQ,,,,,,,,,2008.0
23014,Are! Mo Kore? Mo Momotarou,Misc,,PS,System Sacom,System Sacom,,,,,,,,,1996.0
23015,Are? DS ga Sakasa de Sukedo. Gyaku Shooting,Shooter,,DSiW,Tecmo,Tecmo,,,,,,,,,2010.0
23016,Are? DS ga Sakasa de Sukedo. Sakasa Drops,Puzzle,,DSiW,Tecmo,Tecmo,,,,,,,,,2010.0
23017,Area 51,Shooter,M,SAT,Midway Games,"Mesa Logic, Inc.",,,,,,,,,1996.0
23018,Area 51,Shooter,M,PC,Midway Games,Midway Studios Austin,,,,,,,,,2005.0
23019,Area 51 (1996),Shooter,M,PC,GT Interactive,"Mesa Logic, Inc.",,,,,,,,,1996.0
23020,Arena Wars Reloaded,Strategy,,PC,DTP Entertainment,exDream Entertainment,,,,,,,,,2007.0
